Timestamp,LicensePlate,Violation
2025-03-12 18:42:21,P,No Helmet
2025-03-12 18:42:23,PF,No Helmet
2025-03-12 18:42:24,PF,No Helmet
2025-03-12 18:42:26,PO,No Helmet
2025-03-12 18:42:27,PO,No Helmet
2025-03-12 18:42:28,P,No Helmet
2025-03-12 18:42:29,PO,No Helmet
2025-03-12 18:42:31,P,No Helmet
2025-03-12 18:42:35,P,No Helmet
2025-03-12 18:42:45,P,No Helmet
2025-03-13 12:50:18,PM,No Helmet
2025-03-13 12:50:29,P,No Helmet
2025-03-13 12:51:00,P,No Helmet
2025-03-13 12:51:03,THOUB1236,No Helmet
